title,url,status,timing
Субсидия на компенсацию затрат на НИОКР по современным технологиям в рамках комплексных инвестиционных проектов (для фармацевтической промышленности),https://gisp.gov.ru/nmp/measure/12448342,Активная,
"Субсидии на возмещение части затрат, понесенных потребителями промышленной продукции при закупке российского оборудования отрасли машиностроения для топливно-энергетического комплекса",https://gisp.gov.ru/nmp/measure/12448626,Активная,
Субсидия на возмещение части затрат на разработку цифровых платформ и (или) программных продуктов,https://gisp.gov.ru/nmp/measure/10136388,Активная,"Бюджет на 2024 г., 695 млн ₽"
Субсидии лизинговым компаниям при предоставлении лизингополучателю скидки по уплате авансового платежа по договорам лизинга специализированной техники и/или оборудования,https://gisp.gov.ru/nmp/measure/12297171,Активная,"Бюджет на 2024 г., 3 300 млн ₽"
Субсидия на возмещение части затрат на  уплату процентов по кредитам на закупку воздушных судов,https://gisp.gov.ru/nmp/measure/6476127,Активная,"Бюджет на 2024 г., 9 975 млн ₽"
"Финансовое обеспечение затрат, связанных с созданием системы послепродажного обслуживания воздушных судов и подготовкой авиационного персонала для воздушных судов",https://gisp.gov.ru/nmp/measure/8866135,Активная,"Бюджет на 2024 г., 11 911 млн ₽"
Субсидии производителям станкоинструментальной продукции в целях предоставления покупателям скидки при приобретении такой продукции,https://gisp.gov.ru/nmp/measure/12446865,Активная,
Субсидия на компенсацию процентов по кредитам на инновационные и инвестпроекты по выпуску высокотехнологичной продукции организациям ОПК,https://gisp.gov.ru/nmp/measure/7773929,Активная,
Субсидия на стимулирование спроса и повышение конкурентоспособности российской промышленной продукции (Единая лизинговая субсидия),https://gisp.gov.ru/nmp/measure/10963797,Активная,
"Поддержка субъектов Российской Федерации, имеющих право на получение государственной поддержки в форме субсидий на возмещение затрат на создание инфраструктуры индустриальных парков ,технопарков и ОЭЗ",https://gisp.gov.ru/nmp/measure/7782674,Активная,
"Субсидии на перевозку автомобилей, произведенных на территории Дальневосточного ФО, в другие регионы РФ",https://gisp.gov.ru/nmp/measure/7768757,Активная,
"Субсидий организациям автомобилестроения на возмещение части затрат на уплату процентов по кредитам, привлеченным в 2015 году на цели рефинансирования и (или) приобретения прав требований",https://gisp.gov.ru/nmp/measure/8968690,Активная,
